"version";"spl";"achieved_best_perf"
"Rank-based Approach";"BerkeleyDBC";22.9777256740914
"Rank-based Approach";"7z";68.6941826075555
"Rank-based Approach";"VP9";1.19907962536864
"Rank-based Approach";"BerkeleyDBC";11.410707307542
"Rank-based Approach";"7z";33.545069129795
"Rank-based Approach";"VP9";3.47084940208057
"Rank-based Approach";"BerkeleyDBC";42.0476748729973
"Rank-based Approach";"7z";94.2394265650723
"Rank-based Approach";"VP9";20.7542627512164
"Rank-based Approach";"BerkeleyDBC";54.5134818288394
"Rank-based Approach";"7z";22.7348883287927
"Rank-based Approach";"VP9";25.7116931096903
"Rank-based Approach";"BerkeleyDBC";32.9425556858148
"Rank-based Approach";"7z";1.17571642943516
"Rank-based Approach";"VP9";19.4912939411757
"Rank-based Approach";"BerkeleyDBC";42.4775302852677
"Rank-based Approach";"7z";38.6179868587829
"Rank-based Approach";"VP9";29.8751383108255
"Rank-based Approach";"BerkeleyDBC";52.442360296991
"Rank-based Approach";"7z";75.5445155086758
"Rank-based Approach";"VP9";16.115815350997
"Rank-based Approach";"BerkeleyDBC";9.65220789370848
"Rank-based Approach";"7z";20.223196724894
"Rank-based Approach";"VP9";28.9404117611656
"Rank-based Approach";"BerkeleyDBC";26.0648690894881
"Rank-based Approach";"7z";23.33658707149
"Rank-based Approach";"VP9";56.5757248876152
"Rank-based Approach";"BerkeleyDBC";62.9933567799922
"Rank-based Approach";"7z";39.543116886901
"Rank-based Approach";"VP9";8.67550312732929
"Rank-based Approach";"BerkeleyDBC";35.9906213364596
"Rank-based Approach";"7z";36.946925217442
"Rank-based Approach";"VP9";22.254269695693
"Rank-based Approach";"BerkeleyDBC";40.9144196951934
"Rank-based Approach";"7z";59.0305802823468
"Rank-based Approach";"VP9";2.4731595979611
"Rank-based Approach";"BerkeleyDBC";22.6260257913247
"Rank-based Approach";"7z";5.55952155480121
"Rank-based Approach";"VP9";55.9724813540803
"Rank-based Approach";"BerkeleyDBC";24.5017584994138
"Rank-based Approach";"7z";3.22994216116202
"Rank-based Approach";"VP9";2.0435279792962
"Rank-based Approach";"BerkeleyDBC";41.2270418132083
"Rank-based Approach";"7z";48.5103221200775
"Rank-based Approach";"VP9";5.79539720091297
"Rank-based Approach";"BerkeleyDBC";56.5455255959359
"Rank-based Approach";"7z";10.9718964437128
"Rank-based Approach";"VP9";20.6139843240015
"Rank-based Approach";"BerkeleyDBC";0.937866354044549
"Rank-based Approach";"7z";43.2888008275179
"Rank-based Approach";"VP9";50.3956036833504
"Rank-based Approach";"BerkeleyDBC";44.3532629933568
"Rank-based Approach";"7z";2.06879470854762
"Rank-based Approach";"VP9";66.9572544317335
"Rank-based Approach";"BerkeleyDBC";54.0445486518171
"Rank-based Approach";"7z";48.5103221200775
"Rank-based Approach";"VP9";3.47084940208057
"Rank-based Approach";"BerkeleyDBC";27.8624462680735
"Rank-based Approach";"7z";14.6170544442664
"Rank-based Approach";"VP9";14.9579396200908
"Rank-based Approach";"BerkeleyDBC";35.1699882766706
"Rank-based Approach";"7z";88.9771121374146
"Rank-based Approach";"VP9";9.04865300302316
