"version";"spl";"achieved_best_perf"
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.00324075574423956
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.253500196681187
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0.117233294255569
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.00728448841037894
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.253500196681187
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.156311059007425
"Uniform Random Sampling";"7z";0
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.185026005623625
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.00728448841037894
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.234466588511137
"Uniform Random Sampling";"7z";0.0145689768207579
"Uniform Random Sampling";"VP9";0.00324075574423956
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.390448578796311
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.234466588511137
"Uniform Random Sampling";"7z";0.00437069304622736
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0
"Uniform Random Sampling";"BerkeleyDBC";0.195388823759281
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.0145689768207579
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0.195388823759281
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0.117233294255569
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.117233294255569
"Uniform Random Sampling";"7z";0.185026005623625
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.30449161555384
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.117233294255569
"Uniform Random Sampling";"7z";0.00728448841037894
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.31262211801485
"Uniform Random Sampling";"7z";0.00437069304622736
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.00728448841037894
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.273544353262993
"Uniform Random Sampling";"7z";0.268069173501945
"Uniform Random Sampling";"VP9";0.264353075708684
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.00728448841037894
"Uniform Random Sampling";"VP9";0
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.00437069304622736
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.185026005623625
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.651233263887877
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.00324075574423956
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0
"Uniform Random Sampling";"VP9";0.00324075574423956
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0145689768207579
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.264353075708684
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.264353075708684
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.00324075574423956
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.30449161555384
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.117233294255569
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.00324075574423956
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.0145689768207579
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.185026005623625
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0
"Uniform Random Sampling";"VP9";0.264353075708684
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.651233263887877
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.195388823759281
"Uniform Random Sampling";"7z";0.0145689768207579
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.00728448841037894
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.234466588511137
"Uniform Random Sampling";"7z";0.0145689768207579
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.224362243039671
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.264353075708684
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.00437069304622736
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0
"Uniform Random Sampling";"BerkeleyDBC";0.117233294255569
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.0145689768207579
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.117233294255569
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0390777647518562
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.014351918295918
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.115094916883987
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0233103629132126
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0
"Uniform Random Sampling";"7z";0.0611897026471831
"Uniform Random Sampling";"VP9";0.102315288496706
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.268069173501945
"Uniform Random Sampling";"VP9";0.0388890689308747
"Uniform Random Sampling";"BerkeleyDBC";0.0781555295037124
"Uniform Random Sampling";"7z";0.0611897026471831
